X,Y,FIRE_NUM,FIRE_YEAR,RSPNCE_TYP,IGNITN_DT,FIREOUT_DT,STATUS,FIRE_CAUSE,FIRE_CENTR,ZONE,FIRE_ID,FIRE_TYPE,INCIDNT_NM,GEOGRAPHIC,LATITUDE,LONGITUDE,CURRENT_SZ,FIRE_LINK,FEATURE_CD,OBJECTID
854648.996099999,1118071.0845,R42770,2023,Full,2023/08/15,2023/08/16,Out,Lightning,3,4,2770,Fire,R42770,Gull Creek,55.0403,-128.2801,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R42770,0.0000000000,10209912
1370620.5463,655576.276300006,K22760,2023,Full,2023/08/14,2023/08/15,Out,Person,5,2,2760,Fire,Painted Bluffs,Painted Bluffs,50.7908,-120.7346,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K22760,0.0000000000,10209913
1044191.0134,462951.096200004,V70684,2023,Full,2023/06/08,2023/06/08,Out,Person,2,7,684,Fire,V70684,2km S of Cats Ear Creek,49.1812,-125.3945,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70684,0.0000000000,10209914
1354381.1004,651710.264499994,K22903,2023,Full,2023/08/22,2023/08/22,Out,Person,5,2,2903,Fire,,Thompson Rivers Estates,50.7668,-120.9684,0.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K22903,0.0000000000,10209915
1324654.2659,658311.684499998,K22649,2023,Full,2023/08/08,2023/08/08,Out,Person,5,2,2649,Fire,,Cattle Valley,50.8441,-121.3831,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K22649,0.0000000000,10209916
1084687.5177,996828.071599999,G43208,2023,Full,2023/09/09,2023/09/10,Out,Person,4,4,3208,Fire,,15 Creek,53.9681,-124.7060,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G43208,0.0000000000,10209917
1355976.3513,1203233.1669,G72792,2023,Full,2023/08/17,2023/08/23,Out,Person,4,7,2792,Fire,Radar Lake,Radar Lake,55.6962,-120.3186,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G72792,0.0000000000,10209918
1367414.3477,652372.549699997,K22979,2023,Full,2023/08/27,2023/08/27,Out,Person,5,2,2979,Fire,,Six Mile Hill,50.7642,-120.7833,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K22979,0.0000000000,10209919
1175716.9136,1003039.4901,G11803,2023,Full,2023/07/17,2023/07/19,Out,Lightning,4,1,1803,Fire,,S Saxton Lake,54.0008,-123.3124,0.054,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11803,0.0000000000,10209920
1365320.2625,564838.932800001,K63277,2023,Full,2023/09/15,2023/09/15,Out,Person,5,6,3277,Fire,Salem Creek,Salem Creek,49.9811,-120.9023,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K63277,0.0000000000,10209921
1494290.4127,897906.910899999,G31264,2023,Full,2023/07/07,2023/07/07,Out,Person,4,3,1264,Fire,Yellowhead Lake,Yellowhead Lake,52.8578,-118.6310,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G31264,0.0000000000,10209922
1297768.2715,771532.866900002,C43401,2023,Full,2023/10/07,2023/10/10,Out,Person,7,4,3401,Fire,C43401,S of Butler Road,51.8736,-121.6660,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C43401,0.0000000000,10209923
1114831.1421,543921.127399998,V50516,2023,Full,2023/05/28,2023/05/30,Out,Person,2,5,516,Fire,V50516,Haslam Lake,49.8997,-124.4017,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V50516,0.0000000000,10209924
1100815.2018,484667.021500006,V72316,2023,Full,2023/07/29,2023/07/29,Out,Person,2,7,2316,Fire,V72316,Horne Lake Rd,49.3695,-124.6129,0.200,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V72316,0.0000000000,10209925
1424133.1544,668029.938400002,K20270,2023,Full,2023/05/11,2023/05/15,Out,Person,5,2,270,Fire,,McGillivray Creek,50.8640,-119.9627,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20270,0.0000000000,10209926
1258604.5754,1373032.9557,G80528,2023,Full,2023/05/29,2023/05/29,Out,Person,4,8,528,Fire,,Tommy Lake rd,57.2757,-121.7040,0.040,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80528,0.0000000000,10209927
1203719.408,553870.380499996,V31374,2023,Full,2023/07/09,2023/07/11,Out,Person,2,3,1374,Fire,V31374,Lake Lucille,49.9640,-123.1600,0.900,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V31374,0.0000000000,10209928
1203182.4394,497424.472699998,V32475,2023,Full,2023/08/04,2023/08/05,Out,Person,2,3,2475,Fire,V32475,Harvey Creek,49.4570,-123.1986,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V32475,0.0000000000,10209929
853294.319499999,1187437.8378,R40336,2023,Full,2023/05/15,2023/05/16,Out,Person,3,4,336,Fire,R40336,4.5 km E of Octopus Lake,55.6610,-128.3373,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R40336,0.0000000000,10209930
1354495.1538,1219219.7085,G70820,2023,Full,2023/06/18,2023/06/18,Out,Person,4,7,820,Fire,Saskatoon Creek,Saskatoon Creek,55.8400,-120.3217,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70820,0.0000000000,10209931
1329724.5187,497019.841500005,V11777,2023,Full,2023/07/16,2023/07/27,Out,Person,2,1,1777,Fire,STOCKHOLM CREEK,Schkam Creek,49.3943,-121.4582,0.300,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11777,0.0000000000,10209932
1320921.2398,491924.448100008,V11694,2023,Full,2023/07/14,2023/07/14,Out,Person,2,1,1694,Fire,V11694,Hunter Creek,49.3535,-121.5835,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11694,0.0000000000,10209933
1421650.4977,644221.759199997,K22468,2023,Full,2023/08/04,2023/08/08,Out,Person,5,2,2468,Fire,,Durango Creek,50.6528,-120.0264,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K22468,0.0000000000,10209934
1045592.786,605249.565100001,V80574,2023,Full,2023/06/02,2023/06/10,Out,Person,2,8,574,Fire,V80574,Shoal Bay,50.4607,-125.3576,1.250,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80574,0.0000000000,10209935
1354229.0895,1201320.113,G73284,2023,Full,2023/09/15,2023/10/06,Out,Person,4,7,3284,Fire,,Radar Lake,55.6804,-120.3488,0.700,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G73284,0.0000000000,10209936
1155126.3976,449912.150300004,V72045,2023,Full,2023/07/21,2023/07/24,Out,Person,2,7,2045,Fire,V72045,South Haslam Creek,49.0446,-123.8804,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V72045,0.0000000000,10209937
1793932.0567,513009.5135,N11498,2023,Full,2023/07/10,2023/07/24,Out,Person,6,1,1498,Fire,,Willie Phillips Creek,49.0823,-115.1016,0.800,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11498,0.0000000000,10209938
1197921.7693,488640.139099998,V13342,2023,Full,2023/09/21,2023/09/22,Out,Person,2,1,3342,Fire,V13342,Copper Cove,49.3798,-123.2758,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V13342,0.0000000000,10209939
1457331.2393,496452.966899999,K52813,2023,Full,0549/12/30,2023/10/26,Out,Person,5,5,2813,Fire,UPPER PARK RILL C...,Upper Park Rill Creek,49.3014,-119.7091,2043.800,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K52813,0.0000000000,10209940
1465141.6282,577985.676399997,K50113,2023,Full,2023/04/27,2023/04/30,Out,Person,5,5,113,Fire,k50113,Reid Creek,50.0255,-119.4995,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50113,0.0000000000,10209941
1219438.7585,486808.8884,V11616,2023,Full,2023/07/12,2023/07/19,Out,Person,2,1,1616,Fire,SEYMOUR RIVER,E of Seymour River,49.3555,-122.9810,0.300,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11616,0.0000000000,10209942
1296267.2854,461536.474899997,V11965,2023,Full,2023/07/20,2023/07/22,Out,Person,2,1,1965,Fire,V11965,N of Chilliwack Lake Road,49.0938,-121.9459,0.200,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11965,0.0000000000,10209943
1398633.5673,645118.579299991,K20063,2023,Full,2023/04/19,2023/04/22,Out,Person,5,2,63,Fire,,South of Overlander Bridge,50.6778,-120.3501,0.900,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20063,0.0000000000,10209944
1058884.8574,468019.815199998,V73334,2023,Full,2023/09/21,2023/09/21,Out,Person,2,7,3334,Fire,V73334,Nahmint FSR,49.2255,-125.1924,0.010,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V73334,0.0000000000,10209945
1462262.5098,516713.957700001,K50563,2023,Full,2023/06/02,2023/06/03,Out,Person,5,5,563,Fire,Bread Hollow Rd,Bread Hollow,49.4790,-119.6166,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50563,0.0000000000,10209946
1464685.784,520038.254200004,K50660,2023,Full,2023/06/07,2023/06/11,Out,Person,5,5,660,Fire,,Esplanade Park,49.5069,-119.5791,0.100,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50660,0.0000000000,10209947
1088496.3084,472335.6561,V73310,2023,Full,2023/09/17,2023/09/22,Out,Person,2,7,3310,Fire,V73310,Rogers Creek,49.2605,-124.7853,0.300,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V73310,0.0000000000,10209948
1016464.2932,576374.781700002,V80793,2023,Full,2023/06/15,2023/06/15,Out,Person,2,8,793,Fire,V80793,Memekay River,50.2028,-125.7693,0.002,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80793,0.0000000000,10209949
1046510.4655,828587.491899999,C50191,2023,Full,2023/05/03,2023/05/04,Out,Person,7,5,191,Fire,LODGE CREEK,W of Lodge Creek,52.4651,-125.3142,0.400,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50191,0.0000000000,10209950
1046829.2686,827998.519,C50188,2023,Full,2023/05/03,2023/05/04,Out,Unknown,7,5,188,Fire,C50188,SW of Christensen Road,52.4598,-125.3096,0.090,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50188,0.0000000000,10209951
1120981.6198,992488.957400003,G40208,2023,Full,2023/05/04,2023/05/04,Out,Person,4,4,208,Fire,,Nulki Lake Road,53.9221,-124.1533,3.500,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40208,0.0000000000,10209952
1270180.5842,763908.983100003,C23369,2023,Full,2023/09/27,2023/09/28,Out,Person,7,2,3369,Fire,C23369,NE of Alkali Creek,51.8197,-122.0729,0.010,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C23369,0.0000000000,10209801
1480287.5995,589590.525500002,K40937,2023,Full,2023/06/27,2023/06/27,Out,Person,5,4,937,Fire,,Oyama Lake,50.1166,-119.2738,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40937,0.0000000000,10209802
1225143.1586,1015508.1905,G10224,2023,Full,2023/05/05,2023/05/09,Out,Person,4,1,224,Fire,,"East Of Salmon Valley, West of Fraser River",54.0933,-122.5482,1.150,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10224,0.0000000000,10209803
1060038.3181,809660.546200002,C53184,2023,Full,2023/09/07,2023/09/22,Out,Person,7,5,3184,Fire,C53184,E of Towdystan Lake,52.2940,-125.1182,1.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C53184,0.0000000000,10209804
1634243.9563,661290.847799997,N70201,2023,Full,2023/05/03,2023/07/14,Out,Person,6,7,201,Fire,Beartrap Creek,Beartrap Creek,50.6038,-117.0109,13.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N70201,0.0000000000,10209805
970432.135399999,600900.501699999,V83463,2023,Monitor,2023/11/02,2023/12/07,Out,Person,2,8,3463,Fire,V83463,Naka Main 7km,50.4227,-126.4163,50.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V83463,0.0000000000,10209806
1717507.0719,565858.8861,N10166,2023,Full,2023/05/02,2023/05/18,Out,Person,6,1,166,Fire,N10166,Horse Barn Valley,49.6537,-116.0348,3.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10166,0.0000000000,10209807
782502.558900001,1285587.5163,R53413,2023,Full,2023/10/09,2023/12/19,Out,Person,3,5,3413,Fire,R53413,Wildfire Creek,56.5134,-129.5418,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R53413,0.0000000000,10209808
887141.7136,1176991.8884,R40823,2023,Full,2023/04/20,2023/06/21,Out,Person,3,4,823,Fire,R40823,7km Pope FSR,55.5763,-127.7941,0.030,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R40823,0.0000000000,10209809
1586602.6381,486410.266,N52945,2023,Full,2022/12/25,2023/08/25,Out,Person,6,5,2945,Fire,,Big Sheep Creek,49.0939,-117.9601,0.002,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N52945,0.0000000000,10209810
1060461.8072,472829.075500001,V70125,2023,Full,2023/04/26,2023/04/29,Out,Person,2,7,125,Fire,13K S TAYLOR MAIN,13k S Taylor Main,49.2686,-125.1700,0.010,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70125,0.0000000000,10209811
1604311.3334,513055.8013,N52504,2023,Full,2023/08/05,2023/08/18,Out,Person,6,5,2504,Fire,N52504,Davidson Brook,49.3138,-117.6768,2.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N52504,0.0000000000,10209812
1228352.1272,495475.367799999,V12545,2023,Full,2023/08/06,2023/08/06,Out,Person,2,1,2545,Fire,V12545,N of Lighthall Creek,49.4299,-122.8532,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V12545,0.0000000000,10209813
1145032.2535,453575.586100003,V71066,2023,Full,2023/07/02,2023/07/02,Out,Person,2,7,1066,Fire,NE OF NANAIMO RIV...,NE of Nanaimo River,49.0802,-124.0168,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V71066,0.0000000000,10209814
1467765.7668,521636.410799999,K50058,2023,Full,2023/04/17,2023/04/18,Out,Person,5,5,58,Fire,Campbell Mountain,Campbell Mountain,49.5187,-119.5348,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50058,0.0000000000,10209815
1607879.0348,525251.691300001,N50196,2023,Full,2023/05/03,2023/05/11,Out,Person,6,5,196,Fire,Mt Sentinnel,Cant Creek,49.4190,-117.6083,3.500,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N50196,0.0000000000,10209816
1208632.4364,535756.660799997,V30530,2023,Full,2023/04/29,2023/05/31,Out,Person,2,3,530,Fire,Km 3 Cat Lake,N of Cheekye River,49.7995,-123.1020,0.040,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30530,0.0000000000,10209817
1604153.712,757149.771299996,N42762,2023,Full,2023/08/15,2023/09/13,Out,Person,6,4,2762,Fire,Red Grave Creek,Red Grave Creek,51.4915,-117.2662,0.500,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N42762,0.0000000000,10209818
1736486.7196,579425.240499999,N13034,2023,Full,2023/08/29,2023/09/06,Out,Person,6,1,3034,Fire,,Miller Rd,49.7502,-115.7477,0.600,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N13034,0.0000000000,10209819
1078886.1063,496229.175,V72438,2023,Full,2023/08/03,2023/08/09,Out,Person,2,7,2438,Fire,V72438,Cougar Smith Creek,49.4769,-124.9121,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V72438,0.0000000000,10209820
1162111.9404,408032.084299997,V63320,2023,Full,2023/09/19,2023/09/20,Out,Person,2,6,3320,Fire,V63320,Wild Deer Crk,48.6657,-123.8027,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V63320,0.0000000000,10209821
1177945.7082,1131540.4612,G63267,2023,Modified,2023/09/15,2023/09/19,Out,Person,4,6,3267,Fire,16km Finlay FSR,16km on the Finley FSR,55.1504,-123.2007,0.001,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G63267,0.0000000000,10209822
1018706.2361,1007929.8377,R11124,2023,Full,2023/07/04,2023/07/04,Out,Person,3,1,1124,Fire,R11124,End of Walker Rd,54.0742,-125.7135,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11124,0.0000000000,10209823
1531414.4191,496700.968900002,N62301,2023,Full,2023/07/28,2023/07/28,Out,Person,6,6,2301,Fire,Boundary Creek,Boundary Creek,49.2397,-118.6964,0.090,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N62301,0.0000000000,10209824
1230371.1195,984038.528699999,G10471,2023,Full,2023/05/21,2023/05/26,Out,Unknown,4,1,471,Fire,,Dougherty Creek,53.8093,-122.4921,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10471,0.0000000000,10209825
933987.615,586408.217400007,V90779,2023,Full,2023/06/14,2023/06/30,Out,Person,2,9,779,Fire,ANUTZ LAKE,S of Nimpkish Lake,50.2894,-126.9266,7.900,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V90779,0.0000000000,10209826
1101404.0618,612411.4706,V53204,2023,Modified,2023/09/09,2023/11/14,Out,Person,2,5,3204,Fire,BREM RIVER,Brem River,50.5177,-124.5693,44.500,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V53204,0.0000000000,10209827
1137479.0865,617993.4649,V50296,2023,Full,2023/05/13,2023/05/19,Out,Unknown,2,5,296,Fire,RACOON CREEK,Racoon Creek,50.5601,-124.0584,0.100,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V50296,0.0000000000,10209828
1259268.3604,553704.0132,V33341,2023,Full,2023/09/21,2023/09/24,Out,Person,2,3,3341,Fire,,3 km W of Livingston Crk,49.9398,-122.3870,1.150,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V33341,0.0000000000,10209829
1448004.8821,707696.7715,K21148,2023,Full,2023/07/03,2023/08/03,Out,Person,5,2,1148,Fire,,Spapilum Creek,51.1999,-119.5736,16.300,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21148,0.0000000000,10209830
1087174.9186,1011914.367,G40677,2023,Full,2023/06/08,2023/06/08,Out,Person,4,4,677,Fire,,Ormund Creek,54.1029,-124.6636,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40677,0.0000000000,10209831
1172313.1146,496979.168899999,V53157,2023,Full,2023/09/03,2023/09/03,Out,Person,2,5,3157,Fire,V53157,Gough Creek,49.4631,-123.6241,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V53157,0.0000000000,10209832
1796398.7081,507657.910399999,N11368,2023,Full,2023/07/08,2023/07/24,Out,Person,6,1,1368,Fire,,Phillipps Creek,49.0313,-115.0795,0.100,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11368,0.0000000000,10209833
1387503.3981,511612.107200001,K62575,2023,Full,2023/08/06,2023/08/14,Out,Person,5,6,2575,Fire,Rice Road,Rice Road,49.4890,-120.6499,15.780,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K62575,0.0000000000,10209834
1316399.7525,598452.961600002,K70278,2023,Modified,2023/05/12,2023/05/18,Out,Person,5,7,278,Fire,Bonatie Creek Vehicle Fire,Botanie Creek,50.3122,-121.5536,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K70278,0.0000000000,10209835
